open;high;low;close;volume;marketCap;timestamp
4.6139677044;4.9151149646;4.4814986656;4.8962944035;28339.9968219597;0;"2020-07-13T00:00:00.000Z"
4.9098648792;5.2295636579;4.7620678596;4.9867539093;3956.6401542227;0;"2020-07-14T00:00:00.000Z"
4.9867539093;11.4634431991;4.1253797552;5.2346319752;288098840.167973;128248483.39289;"2020-09-22T00:00:00.000Z"
5.32165397;5.32930962;3.98260404;4.11846862;173091214.36622873;100902481.23141676;"2020-09-23T00:00:00.000Z"
3.81792536;4.7518783;3.53988692;4.56656107;96110963.558701;111880746.31788824;"2020-09-24T00:00:00.000Z"
4.71373648;4.81775221;4.37677358;4.53924857;27304545.98194968;111211589.9854727;"2020-09-26T00:00:00.000Z"
4.53528875;4.69547225;4.13801226;4.62553553;23243191.65922584;113325620.5743547;"2020-09-27T00:00:00.000Z"
4.20590558;4.28064063;3.97066231;4.14295087;16706916.81340713;101502296.41373207;"2020-09-29T00:00:00.000Z"
4.14329318;4.39227781;4.01505614;4.32254623;16932875.58377851;105902382.5965933;"2020-09-30T00:00:00.000Z"
4.14960395;4.20649217;3.69385177;3.92715641;30467406.06939681;96215332.06195498;"2020-10-02T00:00:00.000Z"
3.92574773;4.1661555;3.88023862;4.02165954;11967393.6589558;98530658.7075215;"2020-10-03T00:00:00.000Z"
4.02298282;4.06501609;3.85581733;3.96110965;12949575.32853165;97047186.38243811;"2020-10-04T00:00:00.000Z"
3.98250364;3.98250364;3.51910221;3.53765781;15048997.78264713;86672616.27598791;"2020-10-06T00:00:00.000Z"
3.53880902;3.54297993;3.2302658;3.44681826;15674565.65046532;84447047.34615561;"2020-10-07T00:00:00.000Z"
3.91157435;4.27915711;3.81881726;4.23530482;13043373.34096452;103764967.97635552;"2020-10-09T00:00:00.000Z"
4.24196307;4.25098879;4.01629356;4.0267045;14539710.74921426;98654260.13764963;"2020-10-10T00:00:00.000Z"
4.02243483;4.15848307;3.97083903;4.09587934;11454884.92982655;100349043.84364405;"2020-10-11T00:00:00.000Z"
4.41315023;4.54139188;4.33464584;4.48805379;14050397.56382303;109957317.81960118;"2020-10-13T00:00:00.000Z"
4.48389387;4.48544775;4.02253581;4.15005578;10004481.34645246;101676366.58035868;"2020-10-14T00:00:00.000Z"
4.12786557;4.15539265;3.8870107;4.04048023;9790610.43206577;98991765.5937469;"2020-10-16T00:00:00.000Z"
4.03854072;4.19600869;3.97669431;4.19600869;6113717.11173335;102802212.99977997;"2020-10-17T00:00:00.000Z"
4.11776531;4.16093878;3.99786687;4.05031145;5848392.0453977;99232630.56261167;"2020-10-19T00:00:00.000Z"
4.05350404;4.08160994;3.7143789;3.80220148;19646467.19290119;93153936.18327752;"2020-10-20T00:00:00.000Z"
3.80043858;4.10850458;3.79433369;3.96595864;23475818.61751059;97165986.72321923;"2020-10-21T00:00:00.000Z"
4.33092903;4.48689406;4.14967247;4.26210578;19482074.42321677;104421591.56345294;"2020-10-23T00:00:00.000Z"
4.26210578;4.35265955;4.16198021;4.18969951;16681037.05229224;102647637.89540555;"2020-10-24T00:00:00.000Z"
4.15321015;4.47907144;4.04967754;4.16097292;9243754.92768275;101943836.5793372;"2020-10-26T00:00:00.000Z"
4.16097292;4.34970905;4.0436588;4.12224302;17600880.77984236;100994953.98261252;"2020-10-27T00:00:00.000Z"
4.06660637;4.10639614;3.73338322;3.77531205;6527859.22692984;92495145.3331795;"2020-10-29T00:00:00.000Z"
3.77531205;3.81917247;3.58012673;3.71493759;28434550.47595032;91015970.98518547;"2020-10-30T00:00:00.000Z"
3.71493759;3.74353629;3.58513627;3.64836809;20452534.6462598;89385018.26077695;"2020-10-31T00:00:00.000Z"
3.68266358;3.85450266;3.61439695;3.62391496;20039697.14343108;88785916.44155884;"2020-11-02T00:00:00.000Z"
3.62391496;3.65555442;3.24225744;3.33274693;24573095.23436853;81652299.88684013;"2020-11-03T00:00:00.000Z"
3.18463303;3.37709838;3.0228432;3.35820473;26135754.28506076;82276015.79996859;"2020-11-05T00:00:00.000Z"
