open;high;low;close;volume;marketCap;timestamp
9.90126216;9.91409787;2.76094319;3.2385457;124033112.51;480261613.38;"2021-06-01T23:59:59.999Z"
3.23480019;4.35640944;2.85452199;4.05457098;56871575.58;602941853.71;"2021-06-02T23:59:59.999Z"
4.06428444;5.44963482;3.72571103;4.55834928;92089334.01;680025648.98;"2021-06-03T23:59:59.999Z"
4.55907047;4.55950649;3.58507272;3.80769487;54197406.05;569640628.72;"2021-06-04T23:59:59.999Z"
3.80485108;4.03588173;3.36250271;3.46188071;26958812.79;519457176.57;"2021-06-05T23:59:59.999Z"
3.45084992;3.92263442;3.21776926;3.22099194;32005829.22;486252116.74;"2021-06-07T23:59:59.999Z"
3.23578955;3.32632489;2.65110135;2.97573876;32271334.69;450421587.32;"2021-06-08T23:59:59.999Z"
2.97551114;3.15633473;2.80260739;3.07691637;22756269.82;467113331.6;"2021-06-09T23:59:59.999Z"
3.06952129;3.07643606;2.61802961;2.64482227;19056416.25;402769514.42;"2021-06-10T23:59:59.999Z"
2.65584863;2.9268713;2.47260382;2.47759601;15186774.4;379132047.79;"2021-06-11T23:59:59.999Z"
2.47760284;2.48437703;2.1169742;2.28908709;18649527.69;350951065.9;"2021-06-12T23:59:59.999Z"
2.28906283;2.94139677;2.26579814;2.84743805;17143222.68;437538979.35;"2021-06-13T23:59:59.999Z"
2.84742783;3.06428854;2.67734307;2.83490432;19006746.41;436454576.52;"2021-06-14T23:59:59.999Z"
2.85096518;2.91417373;2.62476294;2.78422202;16518355.72;433387856.27;"2021-06-15T23:59:59.999Z"
2.69951251;2.71127499;2.37550334;2.43232331;15780212.56;380906380.09;"2021-06-16T23:59:59.999Z"
2.43208737;2.62122915;2.28881087;2.31116486;14761953.14;363492072.46;"2021-06-17T23:59:59.999Z"
2.23773174;2.25474084;2.06783346;2.07367396;22345286.88;328825148.29;"2021-06-19T23:59:59.999Z"
2.0734381;2.15153254;1.81365638;2.02072547;32770333.58;321802803.43;"2021-06-20T23:59:59.999Z"
2.02077399;2.02320567;1.4788483;1.48297803;31352772;237153740.06;"2021-06-21T23:59:59.999Z"
1.48283806;1.74172634;1.08031643;1.43078749;39903156.18;229737892.81;"2021-06-22T23:59:59.999Z"
1.43269779;1.99777617;1.41978383;1.78571176;41718523.11;287579287.96;"2021-06-23T23:59:59.999Z"
1.80506232;1.88361214;1.63322644;1.76375387;27259999.4;285450916.86;"2021-06-24T23:59:59.999Z"
1.76497202;1.81916836;1.45743846;1.49090814;22284989.56;242249397.92;"2021-06-25T23:59:59.999Z"
1.49082486;1.54240155;1.28068189;1.37753638;22043663.18;224702195.9;"2021-06-26T23:59:59.999Z"
1.38621094;1.47927138;1.28874767;1.47927138;17034209.62;242244027.55;"2021-06-27T23:59:59.999Z"
1.47896961;1.50252371;1.38357608;1.4448818;14757050.47;237940092.81;"2021-06-28T23:59:59.999Z"
1.44480092;1.71501073;1.44155703;1.59997491;22270604.44;264228224.96;"2021-06-29T23:59:59.999Z"
1.52173519;1.53386763;1.40330563;1.42500049;6821330.6;237120800.92;"2021-07-01T23:59:59.999Z"
1.42497192;1.45096543;1.34409842;1.39285034;5241079.18;232633600.96;"2021-07-02T23:59:59.999Z"
1.39284695;1.51487489;1.36618671;1.4753237;6834798.59;247367564.8;"2021-07-03T23:59:59.999Z"
1.4782952;1.55841334;1.39543369;1.42392111;8231955.93;239656436.23;"2021-07-04T23:59:59.999Z"
1.42404041;1.42404041;1.26730756;1.32323;9508748.87;223614541.09;"2021-07-05T23:59:59.999Z"
1.3206454;1.38990282;1.3026683;1.35186951;8555556.84;229297366.37;"2021-07-06T23:59:59.999Z"
1.3523454;1.38670036;1.35024994;1.35635825;7877925.34;230931091.26;"2021-07-07T23:59:59.999Z"
1.35642844;1.36098879;1.26423627;1.27357434;7132380.3;217636123.57;"2021-07-08T23:59:59.999Z"
1.27165849;1.31101813;1.23315237;1.29971078;6041004.09;222896233.72;"2021-07-09T23:59:59.999Z"
1.30132336;1.30435342;1.19877752;1.21608771;5077703.09;209300396.74;"2021-07-10T23:59:59.999Z"
1.21581853;1.2582095;1.20582215;1.25530397;5894857.76;216893224.13;"2021-07-11T23:59:59.999Z"
1.1892835;1.19365736;1.13378587;1.15151952;5021214.99;200614537.32;"2021-07-13T23:59:59.999Z"
1.15138577;1.21924024;1.09400734;1.16475578;6488462.99;203568243.01;"2021-07-14T23:59:59.999Z"
1.16532429;1.1844814;1.09276082;1.11484946;5363381;195484149.45;"2021-07-15T23:59:59.999Z"
1.11378168;1.13828785;1.05894589;1.06279354;5290596.38;186992422.4;"2021-07-16T23:59:59.999Z"
1.06278012;1.15868388;1.02467011;1.12201031;6312915.12;198129454.42;"2021-07-17T23:59:59.999Z"
1.12202448;1.18723786;1.06161835;1.06450538;4747574.81;188741595.19;"2021-07-18T23:59:59.999Z"
1.06434575;1.07715221;1.02090414;1.03441422;5132507.95;184002868.71;"2021-07-19T23:59:59.999Z"
1.03432275;1.04775174;0.92401584;0.94403057;8045544.86;168555594.34;"2021-07-20T23:59:59.999Z"
0.94404169;1.14213386;0.92328276;1.06448524;9228103.69;190715805.95;"2021-07-21T23:59:59.999Z"
1.0644311;1.1205706;1.01338186;1.10199918;5515873.56;198166127.59;"2021-07-22T23:59:59.999Z"
1.10198646;1.3143363;1.10047753;1.30793005;8857509.46;235992424.89;"2021-07-23T23:59:59.999Z"
1.3220818;1.44163654;1.24921182;1.43599242;6579433.48;261078190.64;"2021-07-25T23:59:59.999Z"
1.4331695;1.53442217;1.34064111;1.42583294;14940822.91;260083395.9;"2021-07-26T23:59:59.999Z"
1.42621295;1.50041992;1.3242788;1.43270536;7809703.6;262261325.52;"2021-07-27T23:59:59.999Z"
1.432815;1.47766236;1.32199904;1.38286821;6519889.67;254328370.86;"2021-07-28T23:59:59.999Z"
1.38296713;1.40762466;1.30125329;1.36484313;5753527.5;251774198.59;"2021-07-29T23:59:59.999Z"
1.3648117;1.49622274;1.3527677;1.49306283;7421950.69;276145297.3;"2021-07-30T23:59:59.999Z"
1.49273112;1.72900297;1.48658881;1.65329826;14831450.89;306802628.7;"2021-07-31T23:59:59.999Z"
