open;high;low;close;volume;marketCap;timestamp
1.1544100693;1.1568528375;1.1485403882;1.1525721971;404657619.73;608873599.85;"2023-05-08T23:59:59.999Z"
1.1524787184;1.1589602684;1.1424993483;1.1439308817;407365616.49;604308620;"2023-05-08T23:59:59.999Z"
1.1441675454;1.1482577188;1.1358773155;1.1473484708;407888227.38;606114042.51;"2023-05-08T23:59:59.999Z"
1.1472973276;1.1611533815;1.142636653;1.152059121;410944758.72;608602555.21;"2023-05-08T23:59:59.999Z"
1.152289963;1.1580122808;1.1391026647;1.1577284192;415503248.87;611597496.44;"2023-05-08T23:59:59.999Z"
1.1574264307;1.1592329482;1.1448343164;1.1468114892;414123885.59;605830369.23;"2023-05-08T23:59:59.999Z"
1.1466317635;1.1484702205;1.1334468735;1.1334468735;412043465.57;598770194.04;"2023-05-08T23:59:59.999Z"
1.1332517108;1.1336770289;1.0746947187;1.0746947187;430853251.22;567732974.77;"2023-05-08T23:59:59.999Z"
1.0745041308;1.0745041308;1.032752716;1.0536032119;461594561.3;556590886.03;"2023-05-08T23:59:59.999Z"
1.0533770122;1.0617384605;1.048157784;1.0484968631;472342200.75;553893336.19;"2023-05-08T23:59:59.999Z"
1.0483294462;1.1026838474;1.046194372;1.0962901877;501918770.43;579141293.49;"2023-05-08T23:59:59.999Z"
1.0965229748;1.1505910337;1.0934477927;1.1206383008;528705251.46;592003761.68;"2023-05-08T23:59:59.999Z"
1.1212549391;1.1313665743;1.1177521355;1.1267700666;542177961.2;595243012.42;"2023-05-08T23:59:59.999Z"
1.1268143409;1.1421244733;1.1242655154;1.141458772;531156825.06;603002669.43;"2023-05-08T23:59:59.999Z"
1.1404939419;1.1404939419;1.1170515807;1.1170515807;520715213.07;590108991.72;"2023-05-09T23:59:59.999Z"
1.1168552476;1.1311027475;1.1168552476;1.1286012405;467001940.04;596210373.44;"2023-05-09T23:59:59.999Z"
1.1290326556;1.1387066555;1.1138316325;1.1214514836;470203729.07;592433344.82;"2023-05-09T23:59:59.999Z"
1.121865538;1.1246938844;1.107700507;1.1174555178;459266926.04;590322381.12;"2023-05-09T23:59:59.999Z"
1.1171083854;1.1191097042;1.1109418461;1.1172737338;456768259.13;590226349.4;"2023-05-09T23:59:59.999Z"
1.1173265655;1.1287715336;1.1087329666;1.1252577741;453303779.98;594444108.04;"2023-05-09T23:59:59.999Z"
1.1256236758;1.1256236758;1.0974811489;1.1111712001;452770359.8;587002541.19;"2023-05-09T23:59:59.999Z"
1.1112362141;1.1508749186;1.1069878111;1.1508749186;447870793.91;607976972.23;"2023-05-09T23:59:59.999Z"
1.1510342065;1.1510342065;1.1269861452;1.1270422044;447822625.86;595386775.67;"2023-05-09T23:59:59.999Z"
